family,designation,source_row_id,source_edition,source_edition_count,catalog_scope
2L,2L2.5X2.5X0.3125,11234,LRFD1,4,modern
2L,2L2.5X2.5X0.375,11233,LRFD1,4,modern
2L,2L2.5X2.5X0.5,13825,ASD7,1,modern
2L,2L2.5X2X0.1875,11304,LRFD1,4,modern
2L,2L2.5X2X0.25,11303,LRFD1,4,modern
2L,2L2.5X2X0.3125,11302,LRFD1,4,modern
2L,2L2X1.25X0.125,13678,ASD7,1,modern
2L,2L2X1.25X0.1875,13677,ASD7,1,modern
2L,2L2X1.25X0.25,13676,ASD7,1,modern
2L,2L2X1.5X0.125,13675,ASD7,1,modern
2L,2L2X1.5X0.1875,13674,ASD7,1,modern
2L,2L2X1.5X0.25,13673,ASD7,1,modern
2L,2L2X2X0.125,11242,LRFD1,4,modern
2L,2L2X2X0.1875,11241,LRFD1,4,modern
2L,2L2X2X0.25,11240,LRFD1,4,modern
2L,2L2X2X0.3125,11239,LRFD1,4,modern
2L,2L2X2X0.375,11238,LRFD1,4,modern
2L,2L2X2X1/4,1059,15th,5,modern
2L,2L2X2X1/4X3/4,1061,15th,5,modern
2L,2L2X2X1/4X3/8,1060,15th,5,modern
2L,2L2X2X3/16,1062,15th,5,modern
2L,2L2X2X3/16X3/4,1064,15th,5,modern
2L,2L2X2X3/16X3/8,1063,15th,5,modern
2L,2L2X2X3/8,1053,15th,5,modern
2L,2L2X2X3/8X3/4,1055,15th,5,modern
2L,2L2X2X3/8X3/8,1054,15th,5,modern
2L,2L2X2X5/16,1056,15th,5,modern
2L,2L2X2X5/16X3/4,1058,15th,5,modern
2L,2L2X2X5/16X3/8,1057,15th,5,modern
2L,2L3-1/2X2-1/2X1/2SLBB,1461,15th,4,modern
2L,2L3-1/2X2-1/2X1/2X3/4SLBB,1463,15th,4,modern
2L,2L3-1/2X2-1/2X1/2X3/8SLBB,1462,15th,4,modern
2L,2L3-1/2X2-1/2X1/4SLBB,1470,15th,5,modern
2L,2L3-1/2X2-1/2X1/4X3/4SLBB,1472,15th,5,modern
2L,2L3-1/2X2-1/2X1/4X3/8SLBB,1471,15th,5,modern
2L,2L3-1/2X2-1/2X3/8SLBB,1464,15th,5,modern
2L,2L3-1/2X2-1/2X3/8X3/4SLBB,1466,15th,5,modern
2L,2L3-1/2X2-1/2X3/8X3/8SLBB,1465,15th,5,modern
2L,2L3-1/2X2-1/2X5/16SLBB,1467,15th,4,modern
2L,2L3-1/2X2-1/2X5/16X3/4SLBB,1469,15th,4,modern
2L,2L3-1/2X2-1/2X5/16X3/8SLBB,1468,15th,4,modern
2L,2L3-1/2X3-1/2X1/2,1005,15th,4,modern
2L,2L3-1/2X3-1/2X1/2X3/4,1007,15th,4,modern
2L,2L3-1/2X3-1/2X1/2X3/8,1006,15th,4,modern
2L,2L3-1/2X3-1/2X1/4,1017,15th,5,modern
2L,2L3-1/2X3-1/2X1/4X3/4,1019,15th,5,modern
2L,2L3-1/2X3-1/2X1/4X3/8,1018,15th,5,modern
2L,2L3-1/2X3-1/2X3/8,1011,15th,5,modern
2L,2L3-1/2X3-1/2X3/8X3/4,1013,15th,5,modern
2L,2L3-1/2X3-1/2X3/8X3/8,1012,15th,5,modern
2L,2L3-1/2X3-1/2X5/16,1014,15th,5,modern
2L,2L3-1/2X3-1/2X5/16X3/4,1016,15th,5,modern
2L,2L3-1/2X3-1/2X5/16X3/8,1015,15th,5,modern
2L,2L3-1/2X3-1/2X7/16,1008,15th,4,modern
2L,2L3-1/2X3-1/2X7/16X3/4,1010,15th,4,modern
2L,2L3-1/2X3-1/2X7/16X3/8,1009,15th,4,modern
2L,2L3-1/2X3X1/2SLBB,1446,15th,4,modern
2L,2L3-1/2X3X1/2X3/4SLBB,1448,15th,4,modern
2L,2L3-1/2X3X1/2X3/8SLBB,1447,15th,4,modern
2L,2L3-1/2X3X1/4SLBB,1458,15th,5,modern
2L,2L3-1/2X3X1/4X3/4SLBB,1460,15th,5,modern
2L,2L3-1/2X3X1/4X3/8SLBB,1459,15th,5,modern
2L,2L3-1/2X3X3/8SLBB,1452,15th,5,modern
2L,2L3-1/2X3X3/8X3/4SLBB,1454,15th,5,modern
2L,2L3-1/2X3X3/8X3/8SLBB,1453,15th,5,modern
2L,2L3-1/2X3X5/16SLBB,1455,15th,5,modern
2L,2L3-1/2X3X5/16X3/4SLBB,1457,15th,5,modern
2L,2L3-1/2X3X5/16X3/8SLBB,1456,15th,5,modern
2L,2L3-1/2X3X7/16SLBB,1449,15th,4,modern
2L,2L3-1/2X3X7/16X3/4SLBB,1451,15th,4,modern
2L,2L3-1/2X3X7/16X3/8SLBB,1450,15th,4,modern
2L,2L3.5X2.5X0.25,11290,LRFD1,4,modern
2L,2L3.5X2.5X0.3125,11289,LRFD1,4,modern
2L,2L3.5X2.5X0.375,11288,LRFD1,4,modern
2L,2L3.5X2.5X0.4375,13650,ASD7,1,modern
2L,2L3.5X2.5X0.5,13649,ASD7,1,modern
2L,2L3.5X3.5X0.25,11225,LRFD1,4,modern
2L,2L3.5X3.5X0.3125,11224,LRFD1,4,modern
2L,2L3.5X3.5X0.375,11223,LRFD1,4,modern
2L,2L3.5X3.5X0.4375,13815,ASD7,1,modern
2L,2L3.5X3.5X0.5,13814,ASD7,1,modern
2L,2L3.5X3X0.25,11286,LRFD1,4,modern
2L,2L3.5X3X0.3125,11285,LRFD1,4,modern
2L,2L3.5X3X0.375,11284,LRFD1,4,modern
2L,2L3.5X3X0.4375,13645,ASD7,1,modern
2L,2L3.5X3X0.5,13644,ASD7,1,modern
2L,2L3X2-1/21/2X3/4LLBB,7209,LRFD3,1,modern
2L,2L3X2-1/21/2X3/4SLBB,7431,LRFD3,1,modern
2L,2L3X2-1/2X1/2SLBB,1473,15th,4,modern
2L,2L3X2-1/2X1/2X3/4SLBB,1475,15th,3,modern
2L,2L3X2-1/2X1/2X3/8SLBB,1474,15th,4,modern
2L,2L3X2-1/2X1/4SLBB,1485,15th,5,modern
2L,2L3X2-1/2X1/4X3/4SLBB,1487,15th,5,modern
2L,2L3X2-1/2X1/4X3/8SLBB,1486,15th,5,modern
2L,2L3X2-1/2X3/16SLBB,1488,15th,5,modern
2L,2L3X2-1/2X3/16X3/4SLBB,1490,15th,5,modern
2L,2L3X2-1/2X3/16X3/8SLBB,1489,15th,5,modern
