family,designation,source_row_id,source_edition,source_edition_count,catalog_scope
2L,2L6X6X7/8X3/8,940,15th,5,modern
2L,2L6X6X9/16,948,15th,4,modern
2L,2L6X6X9/16X3/4,950,15th,4,modern
2L,2L6X6X9/16X3/8,949,15th,4,modern
2L,2L7X4.5X0.3125,12423,ASD8,1,modern
2L,2L7X4X0.375,11254,LRFD1,4,modern
2L,2L7X4X0.4375,13605,ASD7,1,modern
2L,2L7X4X0.5,11253,LRFD1,4,modern
2L,2L7X4X0.5625,13603,ASD7,1,modern
2L,2L7X4X0.625,13602,ASD7,1,modern
2L,2L7X4X0.75,11252,LRFD1,4,modern
2L,2L7X4X0.875,13600,ASD7,1,modern
2L,2L7X4X1/2SLBB,1344,15th,5,modern
2L,2L7X4X1/2X3/4SLBB,1346,15th,5,modern
2L,2L7X4X1/2X3/8SLBB,1345,15th,5,modern
2L,2L7X4X3/4SLBB,1338,15th,5,modern
2L,2L7X4X3/4X3/4SLBB,1340,15th,5,modern
2L,2L7X4X3/4X3/8SLBB,1339,15th,5,modern
2L,2L7X4X3/8SLBB,1350,15th,5,modern
2L,2L7X4X3/8X3/4SLBB,1352,15th,5,modern
2L,2L7X4X3/8X3/8SLBB,1351,15th,5,modern
2L,2L7X4X5/8SLBB,1341,15th,4,modern
2L,2L7X4X5/8X3/4SLBB,1343,15th,4,modern
2L,2L7X4X5/8X3/8SLBB,1342,15th,4,modern
2L,2L7X4X7/16SLBB,1347,15th,4,modern
2L,2L7X4X7/16X3/4SLBB,1349,15th,4,modern
2L,2L7X4X7/16X3/8SLBB,1348,15th,4,modern
2L,2L7X7X0.875,13792,ASD7,1,modern
2L,2L8X4X0.4375,13599,ASD7,1,modern
2L,2L8X4X0.5,11250,LRFD1,4,modern
2L,2L8X4X0.5625,13597,ASD7,1,modern
2L,2L8X4X0.625,13596,ASD7,1,modern
2L,2L8X4X0.75,11249,LRFD1,4,modern
2L,2L8X4X0.875,13594,ASD7,1,modern
2L,2L8X4X1,11248,LRFD1,4,modern
2L,2L8X4X1/2SLBB,1332,15th,5,modern
2L,2L8X4X1/2X3/4SLBB,1334,15th,5,modern
2L,2L8X4X1/2X3/8SLBB,1333,15th,5,modern
2L,2L8X4X1SLBB,1317,15th,5,modern
2L,2L8X4X1X3/4SLBB,1319,15th,5,modern
2L,2L8X4X1X3/8SLBB,1318,15th,5,modern
2L,2L8X4X3/4SLBB,1323,15th,5,modern
2L,2L8X4X3/4X3/4SLBB,1325,15th,5,modern
2L,2L8X4X3/4X3/8SLBB,1324,15th,5,modern
2L,2L8X4X5/8SLBB,1326,15th,4,modern
2L,2L8X4X5/8X3/4SLBB,1328,15th,4,modern
2L,2L8X4X5/8X3/8SLBB,1327,15th,4,modern
2L,2L8X4X7/16SLBB,1335,15th,4,modern
2L,2L8X4X7/16X3/4SLBB,1337,15th,4,modern
2L,2L8X4X7/16X3/8SLBB,1336,15th,4,modern
2L,2L8X4X7/8SLBB,1320,15th,4,modern
2L,2L8X4X7/8X3/4SLBB,1322,15th,4,modern
2L,2L8X4X7/8X3/8SLBB,1321,15th,4,modern
2L,2L8X4X9/16SLBB,1329,15th,4,modern
2L,2L8X4X9/16X3/4SLBB,1331,15th,4,modern
2L,2L8X4X9/16X3/8SLBB,1330,15th,4,modern
2L,2L8X6X0.4375,13592,ASD7,1,modern
2L,2L8X6X0.5,11246,LRFD1,4,modern
2L,2L8X6X0.5625,13590,ASD7,1,modern
2L,2L8X6X0.625,13589,ASD7,1,modern
2L,2L8X6X0.75,11245,LRFD1,4,modern
2L,2L8X6X0.875,13587,ASD7,1,modern
2L,2L8X6X1,11244,LRFD1,4,modern
2L,2L8X6X1/2SLBB,1311,15th,5,modern
2L,2L8X6X1/2X3/4SLBB,1313,15th,5,modern
2L,2L8X6X1/2X3/8SLBB,1312,15th,5,modern
2L,2L8X6X1SLBB,1296,15th,5,modern
2L,2L8X6X1X3/4SLBB,1298,15th,5,modern
2L,2L8X6X1X3/8SLBB,1297,15th,5,modern
2L,2L8X6X3/4SLBB,1302,15th,5,modern
2L,2L8X6X3/4X3/4SLBB,1304,15th,5,modern
2L,2L8X6X3/4X3/8SLBB,1303,15th,5,modern
2L,2L8X6X5/8SLBB,1305,15th,4,modern
2L,2L8X6X5/8X3/4SLBB,1307,15th,4,modern
2L,2L8X6X5/8X3/8SLBB,1306,15th,4,modern
2L,2L8X6X7/16SLBB,1314,15th,4,modern
2L,2L8X6X7/16X3/4SLBB,1316,15th,4,modern
2L,2L8X6X7/16X3/8SLBB,1315,15th,4,modern
2L,2L8X6X7/8SLBB,1299,15th,4,modern
2L,2L8X6X7/8X3/4SLBB,1301,15th,4,modern
2L,2L8X6X7/8X3/8SLBB,1300,15th,4,modern
2L,2L8X6X9/16SLBB,1308,15th,4,modern
2L,2L8X6X9/16X3/4SLBB,1310,15th,4,modern
2L,2L8X6X9/16X3/8SLBB,1309,15th,4,modern
2L,2L8X8X0.5,11201,LRFD1,4,modern
2L,2L8X8X0.5625,13789,ASD7,1,modern
2L,2L8X8X0.625,11200,LRFD1,4,modern
2L,2L8X8X0.875,11198,LRFD1,4,modern
2L,2L8X8X1,918,15th,9,modern
2L,2L8X8X1-1/8,915,15th,5,modern
2L,2L8X8X1-1/8X3/4,917,15th,5,modern
2L,2L8X8X1-1/8X3/8,916,15th,5,modern
2L,2L8X8X1.125,11196,LRFD1,4,modern
2L,2L8X8X1/2,933,15th,5,modern
2L,2L8X8X1/2X3/4,935,15th,5,modern
2L,2L8X8X1/2X3/8,934,15th,5,modern
2L,2L8X8X1X3/4,920,15th,5,modern
2L,2L8X8X1X3/8,919,15th,5,modern
2L,2L8X8X3/4,924,15th,5,modern
2L,2L8X8X3/4X3/4,926,15th,5,modern
2L,2L8X8X3/4X3/8,925,15th,5,modern
2L,2L8X8X5/8,927,15th,5,modern
2L,2L8X8X5/8X3/4,929,15th,5,modern
2L,2L8X8X5/8X3/8,928,15th,5,modern
2L,2L8X8X7/8,921,15th,5,modern
2L,2L8X8X7/8X3/4,923,15th,5,modern
2L,2L8X8X7/8X3/8,922,15th,5,modern
2L,2L8X8X9/16,930,15th,4,modern
2L,2L8X8X9/16X3/4,932,15th,4,modern
2L,2L8X8X9/16X3/8,931,15th,4,modern
2L,2L9X4X0.5,13585,ASD7,1,modern
2L,2L9X4X0.5625,13584,ASD7,1,modern
2L,2L9X4X0.625,13583,ASD7,1,modern
2L,2L9X4X0.75,13582,ASD7,1,modern
2L,2L9X4X0.875,13581,ASD7,1,modern
2L,2L9X4X1,13580,ASD7,1,modern
2L,2L9X9X0.625,13794,ASD7,1,modern
B,"12BL,B12L",17854,Historic,1,historical
B,"6B,B6B",17897,Historic,1,historical
B,B108,17899,Historic,1,historical
B,B14X4,15064,ASD6,1,historical
B,B21,17077,Historic,1,historical
B,B23,17251,Historic,1,historical
B,B25,17615,Historic,1,historical
B,B31,16879,Historic,1,historical
B,B32,17012,Historic,1,historical
B,B34,17250,Historic,1,historical
B,B35,17409,Historic,1,historical
B,B37,17695,Historic,1,historical
B,B38,17787,Historic,1,historical
B,B39N,17780,Historic,1,historical
B,B41,17898,Historic,1,historical
B,B42,17889,Historic,1,historical
B,B61,16876,Historic,1,historical
B,B62,16997,Historic,1,historical
B,B63,17091,Historic,1,historical
B,B64,17242,Historic,1,historical
B,B65,17407,Historic,1,historical
B,B66,17604,Historic,1,historical
B,B67,17693,Historic,1,historical
B,B68,17790,Historic,1,historical
B,B7,17888,Historic,1,historical
B,"BS5,H2",17841,Historic,1,historical
BCB,"BS4,CB41",17852,Historic,1,historical
BJ,"10BJ,BJ10",17875,Historic,1,historical
BJ,"12BJ,BJ12",17862,Historic,1,historical
BJ,"8BJ,BJ8",17885,Historic,1,historical
BJ,BJ10X4,15789,ASD5,1,historical
BJ,BJ12X4,15788,ASD5,1,historical
BJ,BJ6X4,15791,ASD5,1,historical
BJ,BJ8X4,15790,ASD5,1,historical
BLB,BLB14X4,15777,ASD5,1,historical
BP,BP8X8,15127,ASD6,2,historical
C,C10X15.3,360,15th,9,modern
C,C10X20,359,15th,9,modern
C,C10X25,358,15th,9,modern
C,C10X30,357,15th,9,modern
C,C12X20.7,356,15th,9,modern
C,C12X25,355,15th,9,modern
C,C12X30,354,15th,9,modern
C,C15X33.9,353,15th,9,modern
C,C15X40,352,15th,9,modern
C,C15X50,351,15th,9,modern
C,C3X3.5,382,15th,4,modern
C,C3X4.1,381,15th,9,modern
C,C3X5,380,15th,9,modern
C,C3X6,379,15th,9,modern
C,C4X5.4,377,15th,9,modern
C,C4X7.2,4443,13th,1,modern
C,C4X7.25,375,15th,8,modern
C,C5X6.7,374,15th,9,modern
C,C5X9,373,15th,9,modern
C,C6X10.5,371,15th,9,modern
C,C6X13,370,15th,9,modern
C,C6X8.2,372,15th,9,modern
C,C7X12.2,4436,13th,1,modern
C,C7X12.25,368,15th,8,modern
C,C7X14.7,4435,13th,1,modern
C,C7X14.75,367,15th,7,modern
C,C7X9.8,369,15th,9,modern
C,C8X11.5,366,15th,9,modern
C,C8X13.7,4433,13th,1,modern
C,C8X13.75,365,15th,8,modern
C,C8X18.75,364,15th,9,modern
C,C9X13.4,363,15th,9,modern
C,C9X15,362,15th,9,modern
C,C9X20,361,15th,9,modern
CB,CB121,17616,Historic,1,historical
CB,CB141,17502,Historic,1,historical
CB,CB20,17146,Historic,1,historical
CB,CB241,17010,Historic,1,historical
CB,CB27N,16863,Historic,1,historical
CB,CB33N,16725,Historic,1,historical
CB,CBJ10,17876,Historic,1,historical
CB,CBJ12,17863,Historic,1,historical
CB,CBJ6,17901,Historic,1,historical
CB,CBJ8,17886,Historic,1,historical
G,G24B,16958,Historic,1,historical
G,G26A,16882,Historic,1,historical
G,G28A,16811,Historic,1,historical
H,H,18769,Historic,1,historical
H,H12C,18336,Historic,1,historical
H,H13C,18256,Historic,1,historical
H,H15S,18236,Historic,1,historical
H,H16A,17919,Historic,1,historical
H,H16B,17908,Historic,1,historical
H,H2,17840,Historic,1,historical
HP,HP10X42,349,15th,9,modern
HP,HP10X57,348,15th,9,modern
HP,HP12X53,347,15th,9,modern
HP,HP12X63,346,15th,8,modern
HP,HP12X74,345,15th,9,modern
HP,HP12X84,344,15th,8,modern
HP,HP12X89,343,15th,1,modern
HP,HP13X100,11812,LRFD1,3,modern
HP,HP13X60,11815,LRFD1,3,modern
HP,HP13X73,11814,LRFD1,3,modern
HP,HP13X87,11813,LRFD1,3,modern
HP,HP14X102,340,15th,9,modern
HP,HP14X117,339,15th,9,modern
HP,HP14X73,342,15th,9,modern
HP,HP14X89,341,15th,9,modern
HP,HP16X101,337,15th,2,modern
HP,HP16X121,336,15th,2,modern
HP,HP16X141,335,15th,2,modern
HP,HP16X162,334,15th,2,modern
HP,HP16X183,333,15th,2,modern
HP,HP16X88,338,15th,2,modern
HP,HP18X135,332,15th,2,modern
HP,HP18X157,331,15th,2,modern
HP,HP18X181,330,15th,2,modern
HP,HP18X204,329,15th,2,modern
HP,HP8X36,350,15th,9,modern
HSS,HSS1-1/2X1-1/2X.125,7804,LRFD3,1,modern
HSS,HSS1-1/2X1-1/2X.1875,7803,LRFD3,1,modern
HSS,HSS1-1/2X1-1/2X1/8,9565,LRFD2,1,modern
HSS,HSS1-1/2X1-1/2X3/16,9564,LRFD2,1,modern
HSS,HSS1-1/4X1-1/4X.125,7806,LRFD3,1,modern
HSS,HSS1-1/4X1-1/4X.1875,7805,LRFD3,1,modern
HSS,HSS1-1/4X1-1/4X1/8,9567,LRFD2,1,modern
HSS,HSS1-1/4X1-1/4X3/16,9566,LRFD2,1,modern
HSS,HSS1-11/16X.140,7947,LRFD3,1,modern
HSS,HSS1-3/4X1-3/4X.1875,7800,LRFD3,1,modern
HSS,HSS1-3/4X1-3/4X3/16,9561,LRFD2,1,modern
HSS,HSS1-5/8X1-5/8X.125,7802,LRFD3,1,modern
HSS,HSS1-5/8X1-5/8X.1875,7801,LRFD3,1,modern
HSS,HSS1-5/8X1-5/8X1/8,9563,LRFD2,1,modern
HSS,HSS1-5/8X1-5/8X3/16,9562,LRFD2,1,modern
HSS,HSS1-7/8X.145,7946,LRFD3,1,modern
HSS,HSS1.660X0.140,2039,15th,4,modern
HSS,HSS1.900X0.120,2038,15th,3,modern
HSS,HSS1.900X0.145,2037,15th,4,modern
HSS,HSS1.900X0.188,2036,15th,3,modern
HSS,HSS10-3/4X.250,7834,LRFD3,1,modern
HSS,HSS10-3/4X.500,7833,LRFD3,1,modern
HSS,HSS10.000X0.188,1938,15th,2,modern
HSS,HSS10.000X0.250,1937,15th,2,modern
HSS,HSS10.000X0.312,1936,15th,2,modern
HSS,HSS10.000X0.375,1935,15th,2,modern
HSS,HSS10.000X0.500,1934,15th,2,modern
HSS,HSS10.000X0.625,1933,15th,2,modern
HSS,HSS10.750X0.250,1932,15th,4,modern
HSS,HSS10.750X0.375,1931,15th,3,modern
HSS,HSS10.750X0.500,1930,15th,4,modern
HSS,HSS10X.188,7840,LRFD3,1,modern
HSS,HSS10X.250,7839,LRFD3,1,modern
HSS,HSS10X.312,7838,LRFD3,1,modern
HSS,HSS10X.375,7837,LRFD3,1,modern
HSS,HSS10X.500,7836,LRFD3,1,modern
HSS,HSS10X.625,7835,LRFD3,1,modern
HSS,HSS10X0.188,3948,14th,2,modern
HSS,HSS10X0.250,3947,14th,2,modern
HSS,HSS10X0.312,3946,14th,2,modern
HSS,HSS10X0.375,3945,14th,2,modern
HSS,HSS10X0.500,3944,14th,2,modern
HSS,HSS10X0.625,3943,14th,2,modern
HSS,HSS10X10X.1875,7570,LRFD3,1,modern
HSS,HSS10X10X.250,7569,LRFD3,1,modern
HSS,HSS10X10X.3125,7568,LRFD3,1,modern
HSS,HSS10X10X.375,7567,LRFD3,1,modern
HSS,HSS10X10X.500,7566,LRFD3,1,modern
HSS,HSS10X10X.625,7565,LRFD3,1,modern
HSS,HSS10X10X1/2,1639,15th,4,modern
HSS,HSS10X10X1/4,1642,15th,4,modern
HSS,HSS10X10X3/16,1643,15th,4,modern
HSS,HSS10X10X3/4,1637,15th,1,modern
HSS,HSS10X10X3/8,1640,15th,4,modern
HSS,HSS10X10X5/16,1641,15th,4,modern
HSS,HSS10X10X5/8,1638,15th,4,modern
HSS,HSS10X2X.1875,7601,LRFD3,1,modern
HSS,HSS10X2X.250,7600,LRFD3,1,modern
HSS,HSS10X2X.3125,7599,LRFD3,1,modern
HSS,HSS10X2X.375,7598,LRFD3,1,modern
HSS,HSS10X2X1/4,1680,15th,4,modern
HSS,HSS10X2X1/8,1682,15th,3,modern
HSS,HSS10X2X3/16,1681,15th,4,modern
HSS,HSS10X2X3/8,1678,15th,4,modern
HSS,HSS10X2X5/16,1679,15th,4,modern
HSS,HSS10X3-1/2X.1875,7592,LRFD3,1,modern
HSS,HSS10X3-1/2X1/2,1667,15th,3,modern
HSS,HSS10X3-1/2X1/4,1670,15th,3,modern
HSS,HSS10X3-1/2X1/8,1672,15th,3,modern
HSS,HSS10X3-1/2X3/16,1671,15th,4,modern
HSS,HSS10X3-1/2X3/8,1668,15th,3,modern
HSS,HSS10X3-1/2X5/16,1669,15th,3,modern
HSS,HSS10X3X.125,7597,LRFD3,1,modern
HSS,HSS10X3X.1875,7596,LRFD3,1,modern
HSS,HSS10X3X.250,7595,LRFD3,1,modern
HSS,HSS10X3X.3125,7594,LRFD3,1,modern
HSS,HSS10X3X.375,7593,LRFD3,1,modern
HSS,HSS10X3X1/4,1675,15th,4,modern
HSS,HSS10X3X1/8,1677,15th,4,modern
HSS,HSS10X3X3/16,1676,15th,4,modern
HSS,HSS10X3X3/8,1673,15th,4,modern
HSS,HSS10X3X5/16,1674,15th,4,modern
HSS,HSS10X4X.1875,7591,LRFD3,1,modern
HSS,HSS10X4X.250,7590,LRFD3,1,modern
HSS,HSS10X4X.3125,7589,LRFD3,1,modern
HSS,HSS10X4X.375,7588,LRFD3,1,modern
HSS,HSS10X4X.500,7587,LRFD3,1,modern
HSS,HSS10X4X.625,7586,LRFD3,1,modern
HSS,HSS10X4X1/2,1661,15th,4,modern
HSS,HSS10X4X1/4,1664,15th,4,modern
HSS,HSS10X4X1/8,1666,15th,3,modern
HSS,HSS10X4X3/16,1665,15th,4,modern
HSS,HSS10X4X3/8,1662,15th,4,modern
HSS,HSS10X4X5/16,1663,15th,4,modern
HSS,HSS10X4X5/8,1660,15th,4,modern
HSS,HSS10X5X.1875,7585,LRFD3,1,modern
HSS,HSS10X5X.250,7584,LRFD3,1,modern
HSS,HSS10X5X.3125,7583,LRFD3,1,modern
HSS,HSS10X5X.375,7582,LRFD3,1,modern
HSS,HSS10X5X1/4,1658,15th,4,modern
HSS,HSS10X5X3/16,1659,15th,4,modern
HSS,HSS10X5X3/8,1656,15th,4,modern
HSS,HSS10X5X5/16,1657,15th,4,modern
HSS,HSS10X6X.1875,7581,LRFD3,1,modern
HSS,HSS10X6X.250,7580,LRFD3,1,modern
HSS,HSS10X6X.3125,7579,LRFD3,1,modern
HSS,HSS10X6X.375,7578,LRFD3,1,modern
HSS,HSS10X6X.500,7577,LRFD3,1,modern
HSS,HSS10X6X.625,7576,LRFD3,1,modern
HSS,HSS10X6X1/2,1651,15th,4,modern
HSS,HSS10X6X1/4,1654,15th,4,modern
HSS,HSS10X6X3/16,1655,15th,4,modern
HSS,HSS10X6X3/8,1652,15th,4,modern
HSS,HSS10X6X5/16,1653,15th,4,modern
HSS,HSS10X6X5/8,1650,15th,4,modern
HSS,HSS10X8X.1875,7575,LRFD3,1,modern
HSS,HSS10X8X.250,7574,LRFD3,1,modern
HSS,HSS10X8X.3125,7573,LRFD3,1,modern
HSS,HSS10X8X.375,7572,LRFD3,1,modern
HSS,HSS10X8X.500,7571,LRFD3,1,modern
HSS,HSS10X8X1/2,1645,15th,4,modern
HSS,HSS10X8X1/4,1648,15th,4,modern
HSS,HSS10X8X3/16,1649,15th,4,modern
HSS,HSS10X8X3/8,1646,15th,4,modern
HSS,HSS10X8X5/16,1647,15th,4,modern
HSS,HSS10X8X5/8,1644,15th,3,modern
HSS,HSS11-1/4X.188,7832,LRFD3,1,modern
HSS,HSS11-1/4X.250,7831,LRFD3,1,modern
HSS,HSS11-1/4X.312,7830,LRFD3,1,modern
HSS,HSS11-1/4X.375,7829,LRFD3,1,modern
HSS,HSS11-1/4X.500,7828,LRFD3,1,modern
HSS,HSS11-1/4X.625,7827,LRFD3,1,modern
HSS,HSS11.250X0.188,9593,LRFD2,1,modern
HSS,HSS11.250X0.250,9592,LRFD2,1,modern
HSS,HSS11.250X0.312,9591,LRFD2,1,modern
HSS,HSS11.250X0.375,9590,LRFD2,1,modern
HSS,HSS11.250X0.500,9589,LRFD2,1,modern
HSS,HSS11.250X0.625,9588,LRFD2,1,modern
HSS,HSS12-1/2X.188,7826,LRFD3,1,modern
HSS,HSS12-1/2X.250,7825,LRFD3,1,modern
HSS,HSS12-1/2X.312,7824,LRFD3,1,modern
HSS,HSS12-1/2X.375,7823,LRFD3,1,modern
HSS,HSS12-1/2X.500,7822,LRFD3,1,modern
HSS,HSS12-1/2X.625,7821,LRFD3,1,modern
HSS,HSS12-3/4X.250,7820,LRFD3,1,modern
HSS,HSS12-3/4X.375,7819,LRFD3,1,modern
HSS,HSS12-3/4X.500,7818,LRFD3,1,modern
HSS,HSS12.500X0.188,9587,LRFD2,1,modern
HSS,HSS12.500X0.250,9586,LRFD2,1,modern
HSS,HSS12.500X0.312,9585,LRFD2,1,modern
HSS,HSS12.500X0.375,9584,LRFD2,1,modern
HSS,HSS12.500X0.500,9583,LRFD2,1,modern
HSS,HSS12.500X0.625,9582,LRFD2,1,modern
HSS,HSS12.750X0.250,1929,15th,4,modern
HSS,HSS12.750X0.375,1928,15th,4,modern
HSS,HSS12.750X0.500,1927,15th,4,modern
HSS,HSS12X10X.250,7539,LRFD3,1,modern
HSS,HSS12X10X.3125,7538,LRFD3,1,modern
HSS,HSS12X10X.375,7537,LRFD3,1,modern
HSS,HSS12X10X.500,7536,LRFD3,1,modern
HSS,HSS12X10X1/2,1607,15th,4,modern
HSS,HSS12X10X1/4,1610,15th,4,modern
HSS,HSS12X10X3/8,1608,15th,4,modern
HSS,HSS12X10X5/16,1609,15th,4,modern
HSS,HSS12X12X.25,7535,LRFD3,1,modern
HSS,HSS12X12X.3125,7534,LRFD3,1,modern
HSS,HSS12X12X.375,7533,LRFD3,1,modern
HSS,HSS12X12X.500,7532,LRFD3,1,modern
HSS,HSS12X12X.625,7531,LRFD3,1,modern
HSS,HSS12X12X1/2,1602,15th,4,modern
HSS,HSS12X12X1/4,1605,15th,4,modern
HSS,HSS12X12X3/16,1606,15th,3,modern
HSS,HSS12X12X3/4,1600,15th,1,modern
HSS,HSS12X12X3/8,1603,15th,4,modern
HSS,HSS12X12X5/16,1604,15th,4,modern
HSS,HSS12X12X5/8,1601,15th,4,modern
HSS,HSS12X2X.1875,7564,LRFD3,1,modern
HSS,HSS12X2X.250,7563,LRFD3,1,modern
HSS,HSS12X2X1/4,1635,15th,4,modern
HSS,HSS12X2X3/16,1636,15th,4,modern
HSS,HSS12X2X5/16,1634,15th,3,modern
HSS,HSS12X3-1/2X.3125,7559,LRFD3,1,modern
HSS,HSS12X3-1/2X.375,7558,LRFD3,1,modern
HSS,HSS12X3-1/2X3/8,1629,15th,4,modern
HSS,HSS12X3-1/2X5/16,1630,15th,4,modern
HSS,HSS12X3X.1875,7562,LRFD3,1,modern
HSS,HSS12X3X.250,7561,LRFD3,1,modern
HSS,HSS12X3X.3125,7560,LRFD3,1,modern
HSS,HSS12X3X1/4,1632,15th,4,modern
HSS,HSS12X3X3/16,1633,15th,4,modern
HSS,HSS12X3X5/16,1631,15th,4,modern
HSS,HSS12X4X.1875,7557,LRFD3,1,modern
HSS,HSS12X4X.250,7556,LRFD3,1,modern
HSS,HSS12X4X.3125,7555,LRFD3,1,modern
HSS,HSS12X4X.375,7554,LRFD3,1,modern
HSS,HSS12X4X.500,7553,LRFD3,1,modern
HSS,HSS12X4X.625,7552,LRFD3,1,modern
HSS,HSS12X4X1/2,1624,15th,4,modern
HSS,HSS12X4X1/4,1627,15th,4,modern
HSS,HSS12X4X3/16,1628,15th,4,modern
HSS,HSS12X4X3/8,1625,15th,4,modern
HSS,HSS12X4X5/16,1626,15th,4,modern
HSS,HSS12X4X5/8,1623,15th,4,modern
HSS,HSS12X6X.1875,7551,LRFD3,1,modern
HSS,HSS12X6X.250,7550,LRFD3,1,modern
HSS,HSS12X6X.3125,7549,LRFD3,1,modern
HSS,HSS12X6X.375,7548,LRFD3,1,modern
HSS,HSS12X6X.500,7547,LRFD3,1,modern
HSS,HSS12X6X.625,7546,LRFD3,1,modern
HSS,HSS12X6X1/2,1618,15th,4,modern
HSS,HSS12X6X1/4,1621,15th,4,modern
HSS,HSS12X6X3/16,1622,15th,4,modern
HSS,HSS12X6X3/8,1619,15th,4,modern
HSS,HSS12X6X5/16,1620,15th,4,modern
HSS,HSS12X6X5/8,1617,15th,4,modern
HSS,HSS12X8X.1875,7545,LRFD3,1,modern
HSS,HSS12X8X.250,7544,LRFD3,1,modern
HSS,HSS12X8X.3125,7543,LRFD3,1,modern
HSS,HSS12X8X.375,7542,LRFD3,1,modern
HSS,HSS12X8X.500,7541,LRFD3,1,modern
HSS,HSS12X8X.625,7540,LRFD3,1,modern
HSS,HSS12X8X1/2,1612,15th,4,modern
HSS,HSS12X8X1/4,1615,15th,4,modern
HSS,HSS12X8X3/16,1616,15th,4,modern
HSS,HSS12X8X3/8,1613,15th,4,modern
HSS,HSS12X8X5/16,1614,15th,4,modern
HSS,HSS12X8X5/8,1611,15th,4,modern
HSS,HSS14.000X0.250,1926,15th,1,modern
HSS,HSS14.000X0.312,1925,15th,2,modern
HSS,HSS14.000X0.375,1924,15th,2,modern
HSS,HSS14.000X0.500,1923,15th,2,modern
HSS,HSS14.000X0.625,1922,15th,1,modern
HSS,HSS14X.312,7817,LRFD3,1,modern
HSS,HSS14X.375,7816,LRFD3,1,modern
HSS,HSS14X.500,7815,LRFD3,1,modern
HSS,HSS14X0.250,3936,14th,2,modern
HSS,HSS14X0.312,3935,14th,2,modern
HSS,HSS14X0.375,3934,14th,2,modern
HSS,HSS14X0.500,3933,14th,2,modern
HSS,HSS14X0.625,3932,14th,2,modern
HSS,HSS14X10X.250,7518,LRFD3,1,modern
HSS,HSS14X10X.3125,7517,LRFD3,1,modern
HSS,HSS14X10X.375,7516,LRFD3,1,modern
HSS,HSS14X10X.500,7515,LRFD3,1,modern
HSS,HSS14X10X.625,7514,LRFD3,1,modern
HSS,HSS14X10X1/2,1584,15th,4,modern
HSS,HSS14X10X1/4,1587,15th,4,modern
HSS,HSS14X10X3/8,1585,15th,4,modern
HSS,HSS14X10X5/16,1586,15th,4,modern
HSS,HSS14X10X5/8,1583,15th,4,modern
HSS,HSS14X12X.375,7513,LRFD3,1,modern
HSS,HSS14X12X.500,7512,LRFD3,1,modern
HSS,HSS14X12X1/2,9241,LRFD2,1,modern
HSS,HSS14X12X3/8,9242,LRFD2,1,modern
HSS,HSS14X14X.3125,7511,LRFD3,1,modern
HSS,HSS14X14X.375,7510,LRFD3,1,modern
HSS,HSS14X14X.500,7509,LRFD3,1,modern
HSS,HSS14X14X.625,7508,LRFD3,1,modern
HSS,HSS14X14X1/2,1580,15th,4,modern
HSS,HSS14X14X3/4,1578,15th,1,modern
HSS,HSS14X14X3/8,1581,15th,4,modern
HSS,HSS14X14X5/16,1582,15th,4,modern
HSS,HSS14X14X5/8,1579,15th,4,modern
HSS,HSS14X14X7/8,1577,15th,1,modern
HSS,HSS14X4X.1875,7530,LRFD3,1,modern
HSS,HSS14X4X.250,7529,LRFD3,1,modern
HSS,HSS14X4X.3125,7528,LRFD3,1,modern
HSS,HSS14X4X.375,7527,LRFD3,1,modern
HSS,HSS14X4X.500,7526,LRFD3,1,modern
HSS,HSS14X4X.625,7525,LRFD3,1,modern
HSS,HSS14X4X1/2,1595,15th,4,modern
HSS,HSS14X4X1/4,1598,15th,4,modern
HSS,HSS14X4X3/16,1599,15th,4,modern
HSS,HSS14X4X3/8,1596,15th,4,modern
HSS,HSS14X4X5/16,1597,15th,4,modern
HSS,HSS14X4X5/8,1594,15th,4,modern
HSS,HSS14X6X.1875,7524,LRFD3,1,modern
HSS,HSS14X6X.250,7523,LRFD3,1,modern
HSS,HSS14X6X.3125,7522,LRFD3,1,modern
HSS,HSS14X6X.375,7521,LRFD3,1,modern
HSS,HSS14X6X.500,7520,LRFD3,1,modern
HSS,HSS14X6X.625,7519,LRFD3,1,modern
HSS,HSS14X6X1/2,1589,15th,4,modern
HSS,HSS14X6X1/4,1592,15th,4,modern
HSS,HSS14X6X3/16,1593,15th,4,modern
HSS,HSS14X6X3/8,1590,15th,4,modern
HSS,HSS14X6X5/16,1591,15th,4,modern
HSS,HSS14X6X5/8,1588,15th,4,modern
HSS,HSS16.000X0.250,1921,15th,1,modern
HSS,HSS16.000X0.312,1920,15th,2,modern
HSS,HSS16.000X0.375,1919,15th,2,modern
HSS,HSS16.000X0.438,1918,15th,2,modern
HSS,HSS16.000X0.500,1917,15th,2,modern
HSS,HSS16.000X0.625,1916,15th,1,modern
HSS,HSS16X.312,7814,LRFD3,1,modern
HSS,HSS16X.375,7813,LRFD3,1,modern
HSS,HSS16X.438,7812,LRFD3,1,modern
HSS,HSS16X.500,7811,LRFD3,1,modern
HSS,HSS16X0.250,3931,14th,2,modern
HSS,HSS16X0.312,3930,14th,2,modern
HSS,HSS16X0.375,3929,14th,2,modern
HSS,HSS16X0.438,3928,14th,2,modern
HSS,HSS16X0.500,3927,14th,2,modern
HSS,HSS16X0.625,3926,14th,2,modern
HSS,HSS16X12X.3125,7500,LRFD3,1,modern
