family,designation,source_row_id,source_edition,A,d,W
2L,2L2-1/2X1-1/2X1/4LLBB,3321,14th,1.89,1.50,6.38
2L,2L2-1/2X1-1/2X1/4LLBB,1290,15th,1.89,2.50,6.38
2L,2L2-1/2X1-1/2X1/4X3/4LLBB,3323,14th,1.89,1.50,6.38
2L,2L2-1/2X1-1/2X1/4X3/4LLBB,1292,15th,1.89,2.50,6.38
2L,2L2-1/2X1-1/2X1/4X3/8LLBB,3322,14th,1.89,1.50,6.38
2L,2L2-1/2X1-1/2X1/4X3/8LLBB,1291,15th,1.89,2.50,6.38
2L,2L2-1/2X1-1/2X3/16LLBB,3324,14th,1.45,1.50,4.88
2L,2L2-1/2X1-1/2X3/16LLBB,1293,15th,1.45,2.50,4.88
2L,2L2-1/2X1-1/2X3/16X3/4LLBB,3326,14th,1.45,1.50,4.88
2L,2L2-1/2X1-1/2X3/16X3/4LLBB,1295,15th,1.45,2.50,4.88
2L,2L2-1/2X1-1/2X3/16X3/8LLBB,3325,14th,1.45,1.50,4.88
2L,2L2-1/2X1-1/2X3/16X3/8LLBB,1294,15th,1.45,2.50,4.88
2L,2L2-1/2X2X1/4LLBB,5301,13th,2.14,2.50,7.24
2L,2L2-1/2X2X1/4LLBB,3315,14th,2.14,2.00,7.24
2L,2L2-1/2X2X1/4LLBB,1284,15th,2.14,2.50,7.24
2L,2L2-1/2X2X1/4LLBB,9040,LRFD2,2.1300,2.5000,7.2400
2L,2L2-1/2X2X1/4LLBB,7246,LRFD3,2.14,2.5,7.3
2L,2L2-1/2X2X1/4X3/4LLBB,5303,13th,2.14,2.50,7.24
2L,2L2-1/2X2X1/4X3/4LLBB,3317,14th,2.14,2.00,7.24
2L,2L2-1/2X2X1/4X3/4LLBB,1286,15th,2.14,2.50,7.24
2L,2L2-1/2X2X1/4X3/4LLBB,9042,LRFD2,2.1300,2.5000,7.2400
2L,2L2-1/2X2X1/4X3/4LLBB,7248,LRFD3,2.14,2.5,7.3
2L,2L2-1/2X2X1/4X3/8LLBB,5302,13th,2.14,2.50,7.24
2L,2L2-1/2X2X1/4X3/8LLBB,3316,14th,2.14,2.00,7.24
2L,2L2-1/2X2X1/4X3/8LLBB,1285,15th,2.14,2.50,7.24
2L,2L2-1/2X2X1/4X3/8LLBB,9041,LRFD2,2.1300,2.5000,7.2400
2L,2L2-1/2X2X1/4X3/8LLBB,7247,LRFD3,2.14,2.5,7.3
2L,2L2-1/2X2X3/16LLBB,5304,13th,1.64,2.50,5.50
2L,2L2-1/2X2X3/16LLBB,3318,14th,1.64,2.00,5.50
2L,2L2-1/2X2X3/16LLBB,1287,15th,1.64,2.50,5.50
2L,2L2-1/2X2X3/16LLBB,9043,LRFD2,1.6200,2.5000,5.5000
2L,2L2-1/2X2X3/16LLBB,7249,LRFD3,1.64,2.5,5.57
2L,2L2-1/2X2X3/16X3/4LLBB,5306,13th,1.64,2.50,5.50
2L,2L2-1/2X2X3/16X3/4LLBB,3320,14th,1.64,2.00,5.50
2L,2L2-1/2X2X3/16X3/4LLBB,1289,15th,1.64,2.50,5.50
2L,2L2-1/2X2X3/16X3/4LLBB,9045,LRFD2,1.6200,2.5000,5.5000
2L,2L2-1/2X2X3/16X3/4LLBB,7251,LRFD3,1.64,2.5,5.57
2L,2L2-1/2X2X3/16X3/8LLBB,5305,13th,1.64,2.50,5.50
2L,2L2-1/2X2X3/16X3/8LLBB,3319,14th,1.64,2.00,5.50
2L,2L2-1/2X2X3/16X3/8LLBB,1288,15th,1.64,2.50,5.50
2L,2L2-1/2X2X3/16X3/8LLBB,9044,LRFD2,1.6200,2.5000,5.5000
2L,2L2-1/2X2X3/16X3/8LLBB,7250,LRFD3,1.64,2.5,5.57
2L,2L2-1/2X2X3/8LLBB,5295,13th,3.11,2.50,10.6
2L,2L2-1/2X2X3/8LLBB,3309,14th,3.10,2.00,10.6
2L,2L2-1/2X2X3/8LLBB,1278,15th,3.10,2.50,10.6
2L,2L2-1/2X2X3/8LLBB,9034,LRFD2,3.0900,2.5000,10.6000
2L,2L2-1/2X2X3/8LLBB,7240,LRFD3,3.11,2.5,10.6
2L,2L2-1/2X2X3/8X3/4LLBB,5297,13th,3.11,2.50,10.6
2L,2L2-1/2X2X3/8X3/4LLBB,3311,14th,3.10,2.00,10.6
2L,2L2-1/2X2X3/8X3/4LLBB,1280,15th,3.10,2.50,10.6
2L,2L2-1/2X2X3/8X3/4LLBB,9036,LRFD2,3.0900,2.5000,10.6000
2L,2L2-1/2X2X3/8X3/4LLBB,7242,LRFD3,3.11,2.5,10.6
2L,2L2-1/2X2X3/8X3/8LLBB,5296,13th,3.11,2.50,10.6
2L,2L2-1/2X2X3/8X3/8LLBB,3310,14th,3.10,2.00,10.6
2L,2L2-1/2X2X3/8X3/8LLBB,1279,15th,3.10,2.50,10.6
2L,2L2-1/2X2X3/8X3/8LLBB,9035,LRFD2,3.0900,2.5000,10.6000
2L,2L2-1/2X2X3/8X3/8LLBB,7241,LRFD3,3.11,2.5,10.6
2L,2L2-1/2X2X5/16LLBB,5298,13th,2.64,2.50,9.00
2L,2L2-1/2X2X5/16LLBB,3312,14th,2.64,2.00,9.00
2L,2L2-1/2X2X5/16LLBB,1281,15th,2.64,2.50,9.00
2L,2L2-1/2X2X5/16LLBB,9037,LRFD2,2.6200,2.5000,9.0000
2L,2L2-1/2X2X5/16LLBB,7243,LRFD3,2.64,2.5,8.97
2L,2L2-1/2X2X5/16X3/4LLBB,5300,13th,2.64,2.50,9.00
2L,2L2-1/2X2X5/16X3/4LLBB,3314,14th,2.64,2.00,9.00
2L,2L2-1/2X2X5/16X3/4LLBB,1283,15th,2.64,2.50,9.00
2L,2L2-1/2X2X5/16X3/4LLBB,9039,LRFD2,2.6200,2.5000,9.0000
2L,2L2-1/2X2X5/16X3/4LLBB,7245,LRFD3,2.64,2.5,8.97
2L,2L2-1/2X2X5/16X3/8LLBB,5299,13th,2.64,2.50,9.00
2L,2L2-1/2X2X5/16X3/8LLBB,3313,14th,2.64,2.00,9.00
2L,2L2-1/2X2X5/16X3/8LLBB,1282,15th,2.64,2.50,9.00
2L,2L2-1/2X2X5/16X3/8LLBB,9038,LRFD2,2.6200,2.5000,9.0000
2L,2L2-1/2X2X5/16X3/8LLBB,7244,LRFD3,2.64,2.5,8.97
2L,2L2.5X2,14561,ASD6,3.10,–,10.6
2L,2L2.5X2,14562,ASD6,2.62,–,9.0
2L,2L2.5X2,14563,ASD6,2.12,–,7.2
2L,2L2.5X2,14564,ASD6,1.62,–,5.5
2L,2L2.5X2,14645,ASD6,3.10,–,10.6
2L,2L2.5X2,14646,ASD6,2.62,–,9.0
2L,2L2.5X2,14647,ASD6,2.12,–,7.2
2L,2L2.5X2,14648,ASD6,1.62,–,5.5
2L,2L2.5X2.5,14687,ASD6,4.50,–,15.4
2L,2L2.5X2.5,14688,ASD6,3.46,–,11.8
2L,2L2.5X2.5,14689,ASD6,2.94,–,10.0
2L,2L2.5X2.5,14690,ASD6,2.38,–,8.2
2L,2L2.5X2X0.375,13666,ASD7,3.19,–,10.6
2L,2L2.5X2X0.375,13768,ASD7,3.19,–,10.6
2L,2L2.5X2X0.375,12453,ASD8,3.09,–,10.6
2L,2L2.5X2X0.375,12501,ASD8,3.09,–,10.6
2L,2L2.5X2X0.375,10131,ASD9,3.09,–,10.6
2L,2L2.5X2X0.375,10179,ASD9,3.09,–,10.6
2L,2L2.5X2X0.375,11301,LRFD1,3.09,–,10.6
2L,2L2.5X2X0.375,11363,LRFD1,3.09,–,10.6
2L,2L2X2,14691,ASD6,2.72,–,9.4
2L,2L2X2,14692,ASD6,2.30,–,7.84
2L,2L2X2,14693,ASD6,1.88,–,6.38
2L,2L2X2X1/8,5082,13th,0.982,2.00,3.30
2L,2L2X2X1/8,3096,14th,0.982,2.00,3.30
2L,2L2X2X1/8,1065,15th,0.982,2.00,3.30
2L,2L2X2X1/8,8902,LRFD2,0.9600,2.0000,3.3000
2L,2L2X2X1/8,7027,LRFD3,0.982,2,3.34
2L,2L2X2X1/8X3/4,5084,13th,0.982,2.00,3.30
2L,2L2X2X1/8X3/4,3098,14th,0.982,2.00,3.30
2L,2L2X2X1/8X3/4,1067,15th,0.982,2.00,3.30
2L,2L2X2X1/8X3/4,8904,LRFD2,0.9600,2.0000,3.3000
2L,2L2X2X1/8X3/4,7029,LRFD3,0.982,2,3.34
2L,2L2X2X1/8X3/8,5083,13th,0.982,2.00,3.30
2L,2L2X2X1/8X3/8,3097,14th,0.982,2.00,3.30
2L,2L2X2X1/8X3/8,1066,15th,0.982,2.00,3.30
2L,2L2X2X1/8X3/8,8903,LRFD2,0.9600,2.0000,3.3000
2L,2L2X2X1/8X3/8,7028,LRFD3,0.982,2,3.34
2L,2L3-1/2X2-1/2X1/2LLBB,5250,13th,5.53,3.50,18.8
2L,2L3-1/2X2-1/2X1/2LLBB,3264,14th,5.54,2.50,18.8
2L,2L3-1/2X2-1/2X1/2LLBB,1233,15th,5.54,3.50,18.8
2L,2L3-1/2X2-1/2X1/2LLBB,7195,LRFD3,5.53,3.5,18.8
2L,2L3-1/2X2-1/2X1/2X3/4LLBB,5252,13th,5.53,3.50,18.8
2L,2L3-1/2X2-1/2X1/2X3/4LLBB,3266,14th,5.54,2.50,18.8
2L,2L3-1/2X2-1/2X1/2X3/4LLBB,1235,15th,5.54,3.50,18.8
2L,2L3-1/2X2-1/2X1/2X3/4LLBB,7197,LRFD3,5.53,3.5,18.8
2L,2L3-1/2X2-1/2X1/2X3/8LLBB,5251,13th,5.53,3.50,18.8
2L,2L3-1/2X2-1/2X1/2X3/8LLBB,3265,14th,5.54,2.50,18.8
2L,2L3-1/2X2-1/2X1/2X3/8LLBB,1234,15th,5.54,3.50,18.8
2L,2L3-1/2X2-1/2X1/2X3/8LLBB,7196,LRFD3,5.53,3.5,18.8
2L,2L3-1/2X2-1/2X1/4LLBB,5259,13th,2.90,3.50,9.80
2L,2L3-1/2X2-1/2X1/4LLBB,3273,14th,2.90,2.50,9.80
2L,2L3-1/2X2-1/2X1/4LLBB,1242,15th,2.90,3.50,9.80
2L,2L3-1/2X2-1/2X1/4LLBB,9010,LRFD2,2.8800,3.5000,9.8000
2L,2L3-1/2X2-1/2X1/4LLBB,7204,LRFD3,2.9,3.5,9.88
2L,2L3-1/2X2-1/2X1/4X3/4LLBB,5261,13th,2.90,3.50,9.80
2L,2L3-1/2X2-1/2X1/4X3/4LLBB,3275,14th,2.90,2.50,9.80
2L,2L3-1/2X2-1/2X1/4X3/4LLBB,1244,15th,2.90,3.50,9.80
2L,2L3-1/2X2-1/2X1/4X3/4LLBB,9012,LRFD2,2.8800,3.5000,9.8000
2L,2L3-1/2X2-1/2X1/4X3/4LLBB,7206,LRFD3,2.9,3.5,9.88
2L,2L3-1/2X2-1/2X1/4X3/8LLBB,5260,13th,2.90,3.50,9.80
2L,2L3-1/2X2-1/2X1/4X3/8LLBB,3274,14th,2.90,2.50,9.80
2L,2L3-1/2X2-1/2X1/4X3/8LLBB,1243,15th,2.90,3.50,9.80
2L,2L3-1/2X2-1/2X1/4X3/8LLBB,9011,LRFD2,2.8800,3.5000,9.8000
2L,2L3-1/2X2-1/2X1/4X3/8LLBB,7205,LRFD3,2.9,3.5,9.88
2L,2L3-1/2X2-1/2X3/8LLBB,5253,13th,4.25,3.50,14.4
2L,2L3-1/2X2-1/2X3/8LLBB,3267,14th,4.24,2.50,14.4
2L,2L3-1/2X2-1/2X3/8LLBB,1236,15th,4.24,3.50,14.4
2L,2L3-1/2X2-1/2X3/8LLBB,9007,LRFD2,4.2200,3.5000,14.4000
2L,2L3-1/2X2-1/2X3/8LLBB,7198,LRFD3,4.25,3.5,14.5
2L,2L3-1/2X2-1/2X3/8X3/4LLBB,5255,13th,4.25,3.50,14.4
2L,2L3-1/2X2-1/2X3/8X3/4LLBB,3269,14th,4.24,2.50,14.4
2L,2L3-1/2X2-1/2X3/8X3/4LLBB,1238,15th,4.24,3.50,14.4
2L,2L3-1/2X2-1/2X3/8X3/4LLBB,9009,LRFD2,4.2200,3.5000,14.4000
2L,2L3-1/2X2-1/2X3/8X3/4LLBB,7200,LRFD3,4.25,3.5,14.5
2L,2L3-1/2X2-1/2X3/8X3/8LLBB,5254,13th,4.25,3.50,14.4
2L,2L3-1/2X2-1/2X3/8X3/8LLBB,3268,14th,4.24,2.50,14.4
2L,2L3-1/2X2-1/2X3/8X3/8LLBB,1237,15th,4.24,3.50,14.4
2L,2L3-1/2X2-1/2X3/8X3/8LLBB,9008,LRFD2,4.2200,3.5000,14.4000
2L,2L3-1/2X2-1/2X3/8X3/8LLBB,7199,LRFD3,4.25,3.5,14.5
2L,2L3-1/2X2-1/2X5/16LLBB,5256,13th,3.58,3.50,12.2
2L,2L3-1/2X2-1/2X5/16LLBB,3270,14th,3.58,2.50,12.2
2L,2L3-1/2X2-1/2X5/16LLBB,1239,15th,3.58,3.50,12.2
2L,2L3-1/2X2-1/2X5/16LLBB,7201,LRFD3,3.58,3.5,12.2
2L,2L3-1/2X2-1/2X5/16X3/4LLBB,5258,13th,3.58,3.50,12.2
2L,2L3-1/2X2-1/2X5/16X3/4LLBB,3272,14th,3.58,2.50,12.2
2L,2L3-1/2X2-1/2X5/16X3/4LLBB,1241,15th,3.58,3.50,12.2
2L,2L3-1/2X2-1/2X5/16X3/4LLBB,7203,LRFD3,3.58,3.5,12.2
2L,2L3-1/2X2-1/2X5/16X3/8LLBB,5257,13th,3.58,3.50,12.2
2L,2L3-1/2X2-1/2X5/16X3/8LLBB,3271,14th,3.58,2.50,12.2
2L,2L3-1/2X2-1/2X5/16X3/8LLBB,1240,15th,3.58,3.50,12.2
2L,2L3-1/2X2-1/2X5/16X3/8LLBB,7202,LRFD3,3.58,3.5,12.2
2L,2L3-1/2X3X1/2LLBB,5235,13th,6.04,3.50,20.4
2L,2L3-1/2X3X1/2LLBB,3249,14th,6.04,3.00,20.4
2L,2L3-1/2X3X1/2LLBB,1218,15th,6.04,3.50,20.4
2L,2L3-1/2X3X1/2LLBB,7180,LRFD3,6.04,3.5,20.6
2L,2L3-1/2X3X1/2X3/4LLBB,5237,13th,6.04,3.50,20.4
2L,2L3-1/2X3X1/2X3/4LLBB,3251,14th,6.04,3.00,20.4
2L,2L3-1/2X3X1/2X3/4LLBB,1220,15th,6.04,3.50,20.4
2L,2L3-1/2X3X1/2X3/4LLBB,7182,LRFD3,6.04,3.5,20.6
2L,2L3-1/2X3X1/2X3/8LLBB,5236,13th,6.04,3.50,20.4
2L,2L3-1/2X3X1/2X3/8LLBB,3250,14th,6.04,3.00,20.4
2L,2L3-1/2X3X1/2X3/8LLBB,1219,15th,6.04,3.50,20.4
2L,2L3-1/2X3X1/2X3/8LLBB,7181,LRFD3,6.04,3.5,20.6
2L,2L3-1/2X3X1/4LLBB,5247,13th,3.16,3.50,10.8
2L,2L3-1/2X3X1/4LLBB,3261,14th,3.16,3.00,10.8
2L,2L3-1/2X3X1/4LLBB,1230,15th,3.16,3.50,10.8
2L,2L3-1/2X3X1/4LLBB,9004,LRFD2,3.1300,3.5000,10.8000
2L,2L3-1/2X3X1/4LLBB,7192,LRFD3,3.16,3.5,10.8
2L,2L3-1/2X3X1/4X3/4LLBB,5249,13th,3.16,3.50,10.8
2L,2L3-1/2X3X1/4X3/4LLBB,3263,14th,3.16,3.00,10.8
2L,2L3-1/2X3X1/4X3/4LLBB,1232,15th,3.16,3.50,10.8
2L,2L3-1/2X3X1/4X3/4LLBB,9006,LRFD2,3.1300,3.5000,10.8000
2L,2L3-1/2X3X1/4X3/4LLBB,7194,LRFD3,3.16,3.5,10.8
2L,2L3-1/2X3X1/4X3/8LLBB,5248,13th,3.16,3.50,10.8
2L,2L3-1/2X3X1/4X3/8LLBB,3262,14th,3.16,3.00,10.8
2L,2L3-1/2X3X1/4X3/8LLBB,1231,15th,3.16,3.50,10.8
2L,2L3-1/2X3X1/4X3/8LLBB,9005,LRFD2,3.1300,3.5000,10.8000
2L,2L3-1/2X3X1/4X3/8LLBB,7193,LRFD3,3.16,3.5,10.8
2L,2L3-1/2X3X3/8LLBB,5241,13th,4.63,3.50,15.8
2L,2L3-1/2X3X3/8LLBB,3255,14th,4.64,3.00,15.8
2L,2L3-1/2X3X3/8LLBB,1224,15th,4.64,3.50,15.8
2L,2L3-1/2X3X3/8LLBB,8998,LRFD2,4.5900,3.5000,15.8000
2L,2L3-1/2X3X3/8LLBB,7186,LRFD3,4.63,3.5,15.8
2L,2L3-1/2X3X3/8X3/4LLBB,5243,13th,4.63,3.50,15.8
2L,2L3-1/2X3X3/8X3/4LLBB,3257,14th,4.64,3.00,15.8
2L,2L3-1/2X3X3/8X3/4LLBB,1226,15th,4.64,3.50,15.8
2L,2L3-1/2X3X3/8X3/4LLBB,9000,LRFD2,4.5900,3.5000,15.8000
2L,2L3-1/2X3X3/8X3/4LLBB,7188,LRFD3,4.63,3.5,15.8
2L,2L3-1/2X3X3/8X3/8LLBB,5242,13th,4.63,3.50,15.8
2L,2L3-1/2X3X3/8X3/8LLBB,3256,14th,4.64,3.00,15.8
2L,2L3-1/2X3X3/8X3/8LLBB,1225,15th,4.64,3.50,15.8
2L,2L3-1/2X3X3/8X3/8LLBB,8999,LRFD2,4.5900,3.5000,15.8000
2L,2L3-1/2X3X3/8X3/8LLBB,7187,LRFD3,4.63,3.5,15.8
2L,2L3-1/2X3X5/16LLBB,5244,13th,3.91,3.50,13.2
2L,2L3-1/2X3X5/16LLBB,3258,14th,3.90,3.00,13.2
2L,2L3-1/2X3X5/16LLBB,1227,15th,3.90,3.50,13.2
2L,2L3-1/2X3X5/16LLBB,9001,LRFD2,3.8700,3.5000,13.2000
2L,2L3-1/2X3X5/16LLBB,7189,LRFD3,3.91,3.5,13.3
2L,2L3-1/2X3X5/16X3/4LLBB,5246,13th,3.91,3.50,13.2
2L,2L3-1/2X3X5/16X3/4LLBB,3260,14th,3.90,3.00,13.2
2L,2L3-1/2X3X5/16X3/4LLBB,1229,15th,3.90,3.50,13.2
2L,2L3-1/2X3X5/16X3/4LLBB,9003,LRFD2,3.8700,3.5000,13.2000
2L,2L3-1/2X3X5/16X3/4LLBB,7191,LRFD3,3.91,3.5,13.3
2L,2L3-1/2X3X5/16X3/8LLBB,5245,13th,3.91,3.50,13.2
2L,2L3-1/2X3X5/16X3/8LLBB,3259,14th,3.90,3.00,13.2
2L,2L3-1/2X3X5/16X3/8LLBB,1228,15th,3.90,3.50,13.2
2L,2L3-1/2X3X5/16X3/8LLBB,9002,LRFD2,3.8700,3.5000,13.2000
2L,2L3-1/2X3X5/16X3/8LLBB,7190,LRFD3,3.91,3.5,13.3
2L,2L3-1/2X3X7/16LLBB,5238,13th,5.34,3.50,18.2
2L,2L3-1/2X3X7/16LLBB,3252,14th,5.34,3.00,18.2
2L,2L3-1/2X3X7/16LLBB,1221,15th,5.34,3.50,18.2
2L,2L3-1/2X3X7/16LLBB,7183,LRFD3,5.34,3.5,18.2
2L,2L3-1/2X3X7/16X3/4LLBB,5240,13th,5.34,3.50,18.2
2L,2L3-1/2X3X7/16X3/4LLBB,3254,14th,5.34,3.00,18.2
2L,2L3-1/2X3X7/16X3/4LLBB,1223,15th,5.34,3.50,18.2
2L,2L3-1/2X3X7/16X3/4LLBB,7185,LRFD3,5.34,3.5,18.2
2L,2L3-1/2X3X7/16X3/8LLBB,5239,13th,5.34,3.50,18.2
2L,2L3-1/2X3X7/16X3/8LLBB,3253,14th,5.34,3.00,18.2
2L,2L3-1/2X3X7/16X3/8LLBB,1222,15th,5.34,3.50,18.2
2L,2L3-1/2X3X7/16X3/8LLBB,7184,LRFD3,5.34,3.5,18.2
2L,2L3.5X2.5,14545,ASD6,5.50,–,18.8
2L,2L3.5X2.5,14546,ASD6,4.86,–,16.6
2L,2L3.5X2.5,14547,ASD6,4.22,–,14.4
2L,2L3.5X2.5,14548,ASD6,3.56,–,12.2
2L,2L3.5X2.5,14549,ASD6,2.88,–,9.8
2L,2L3.5X2.5,14629,ASD6,5.50,–,18.8
2L,2L3.5X2.5,14630,ASD6,4.86,–,16.6
2L,2L3.5X2.5,14631,ASD6,4.22,–,14.4
2L,2L3.5X2.5,14632,ASD6,3.56,–,12.2
2L,2L3.5X2.5,14633,ASD6,2.88,–,9.8
2L,2L3.5X3,14540,ASD6,6.00,–,20.4
2L,2L3.5X3,14541,ASD6,5.30,–,18.2
2L,2L3.5X3,14542,ASD6,4.60,–,15.8
2L,2L3.5X3,14543,ASD6,3.86,–,13.2
2L,2L3.5X3,14544,ASD6,3.12,–,10.8
2L,2L3.5X3,14624,ASD6,6.00,–,20.4
2L,2L3.5X3,14625,ASD6,5.30,–,18.2
2L,2L3.5X3,14626,ASD6,4.60,–,15.8
2L,2L3.5X3,14627,ASD6,3.86,–,13.2
2L,2L3.5X3,14628,ASD6,3.12,–,10.8
2L,2L3.5X3.5,14677,ASD6,6.50,–,22.2
2L,2L3.5X3.5,14678,ASD6,5.74,–,19.6
2L,2L3.5X3.5,14679,ASD6,4.96,–,17.0
2L,2L3.5X3.5,14680,ASD6,4.18,–,14.4
2L,2L3.5X3.5,14681,ASD6,3.38,–,11.6
2L,2L3X2,14555,ASD6,4.50,–,15.4
2L,2L3X2,14556,ASD6,4.00,–,13.6
2L,2L3X2,14557,ASD6,3.46,–,11.8
2L,2L3X2,14558,ASD6,2.94,–,10.0
2L,2L3X2,14559,ASD6,2.38,–,8.2
2L,2L3X2,14560,ASD6,1.80,–,6.1
2L,2L3X2,14639,ASD6,4.50,–,15.4
2L,2L3X2,14640,ASD6,4.00,–,13.6
2L,2L3X2,14641,ASD6,3.46,–,11.8
2L,2L3X2,14642,ASD6,2.94,–,10.0
2L,2L3X2,14643,ASD6,2.38,–,8.2
2L,2L3X2,14644,ASD6,1.80,–,6.1
2L,2L3X2-1/2X1/2LLBB,5262,13th,5.01,3.00,17.0
2L,2L3X2-1/2X1/2LLBB,3276,14th,5.00,2.50,17.0
2L,2L3X2-1/2X1/2LLBB,1245,15th,5.00,3.00,17.0
2L,2L3X2-1/2X1/2LLBB,7207,LRFD3,5.01,3,17.1
2L,2L3X2-1/2X1/2X3/4LLBB,5264,13th,5.01,3.00,17.0
2L,2L3X2-1/2X1/2X3/4LLBB,3278,14th,5.00,2.50,17.0
2L,2L3X2-1/2X1/2X3/4LLBB,1247,15th,5.00,3.00,17.0
2L,2L3X2-1/2X1/2X3/8LLBB,5263,13th,5.01,3.00,17.0
2L,2L3X2-1/2X1/2X3/8LLBB,3277,14th,5.00,2.50,17.0
2L,2L3X2-1/2X1/2X3/8LLBB,1246,15th,5.00,3.00,17.0
2L,2L3X2-1/2X1/2X3/8LLBB,7208,LRFD3,5.01,3,17.1
2L,2L3X2-1/2X1/4LLBB,5274,13th,2.64,3.00,9.00
2L,2L3X2-1/2X1/4LLBB,3288,14th,2.64,2.50,9.00
2L,2L3X2-1/2X1/4LLBB,1257,15th,2.64,3.00,9.00
2L,2L3X2-1/2X1/4LLBB,9016,LRFD2,2.6300,3.0000,9.0000
2L,2L3X2-1/2X1/4LLBB,7219,LRFD3,2.64,3,8.97
2L,2L3X2-1/2X1/4X3/4LLBB,5276,13th,2.64,3.00,9.00
2L,2L3X2-1/2X1/4X3/4LLBB,3290,14th,2.64,2.50,9.00
2L,2L3X2-1/2X1/4X3/4LLBB,1259,15th,2.64,3.00,9.00
2L,2L3X2-1/2X1/4X3/4LLBB,9018,LRFD2,2.6300,3.0000,9.0000
2L,2L3X2-1/2X1/4X3/4LLBB,7221,LRFD3,2.64,3,8.97
2L,2L3X2-1/2X1/4X3/8LLBB,5275,13th,2.64,3.00,9.00
2L,2L3X2-1/2X1/4X3/8LLBB,3289,14th,2.64,2.50,9.00
2L,2L3X2-1/2X1/4X3/8LLBB,1258,15th,2.64,3.00,9.00
2L,2L3X2-1/2X1/4X3/8LLBB,9017,LRFD2,2.6300,3.0000,9.0000
2L,2L3X2-1/2X1/4X3/8LLBB,7220,LRFD3,2.64,3,8.97
2L,2L3X2-1/2X3/16LLBB,5277,13th,2.00,3.00,6.78
2L,2L3X2-1/2X3/16LLBB,3291,14th,2.00,2.50,6.78
2L,2L3X2-1/2X3/16LLBB,1260,15th,2.00,3.00,6.78
2L,2L3X2-1/2X3/16LLBB,9019,LRFD2,1.9900,3.0000,6.7700
2L,2L3X2-1/2X3/16LLBB,7222,LRFD3,2,3,6.82
2L,2L3X2-1/2X3/16X3/4LLBB,5279,13th,2.00,3.00,6.78
2L,2L3X2-1/2X3/16X3/4LLBB,3293,14th,2.00,2.50,6.78
2L,2L3X2-1/2X3/16X3/4LLBB,1262,15th,2.00,3.00,6.78
2L,2L3X2-1/2X3/16X3/4LLBB,9021,LRFD2,1.9900,3.0000,6.7700
2L,2L3X2-1/2X3/16X3/4LLBB,7224,LRFD3,2,3,6.82
2L,2L3X2-1/2X3/16X3/8LLBB,5278,13th,2.00,3.00,6.78
2L,2L3X2-1/2X3/16X3/8LLBB,3292,14th,2.00,2.50,6.78
2L,2L3X2-1/2X3/16X3/8LLBB,1261,15th,2.00,3.00,6.78
2L,2L3X2-1/2X3/16X3/8LLBB,9020,LRFD2,1.9900,3.0000,6.7700
2L,2L3X2-1/2X3/16X3/8LLBB,7223,LRFD3,2,3,6.82
2L,2L3X2-1/2X3/8LLBB,5268,13th,3.86,3.00,13.2
2L,2L3X2-1/2X3/8LLBB,3282,14th,3.86,2.50,13.2
2L,2L3X2-1/2X3/8LLBB,1251,15th,3.86,3.00,13.2
2L,2L3X2-1/2X3/8LLBB,9013,LRFD2,3.8400,3.0000,13.2000
2L,2L3X2-1/2X3/8LLBB,7213,LRFD3,3.86,3,13.1
2L,2L3X2-1/2X3/8X3/4LLBB,5270,13th,3.86,3.00,13.2
2L,2L3X2-1/2X3/8X3/4LLBB,3284,14th,3.86,2.50,13.2
2L,2L3X2-1/2X3/8X3/4LLBB,1253,15th,3.86,3.00,13.2
2L,2L3X2-1/2X3/8X3/4LLBB,9015,LRFD2,3.8400,3.0000,13.2000
2L,2L3X2-1/2X3/8X3/4LLBB,7215,LRFD3,3.86,3,13.1
2L,2L3X2-1/2X3/8X3/8LLBB,5269,13th,3.86,3.00,13.2
2L,2L3X2-1/2X3/8X3/8LLBB,3283,14th,3.86,2.50,13.2
2L,2L3X2-1/2X3/8X3/8LLBB,1252,15th,3.86,3.00,13.2
2L,2L3X2-1/2X3/8X3/8LLBB,9014,LRFD2,3.8400,3.0000,13.2000
2L,2L3X2-1/2X3/8X3/8LLBB,7214,LRFD3,3.86,3,13.1
2L,2L3X2-1/2X5/16LLBB,5271,13th,3.25,3.00,11.2
2L,2L3X2-1/2X5/16LLBB,3285,14th,3.26,2.50,11.2
2L,2L3X2-1/2X5/16LLBB,1254,15th,3.26,3.00,11.2
2L,2L3X2-1/2X5/16LLBB,7216,LRFD3,3.25,3,11.1
2L,2L3X2-1/2X5/16X3/4LLBB,5273,13th,3.25,3.00,11.2
2L,2L3X2-1/2X5/16X3/4LLBB,3287,14th,3.26,2.50,11.2
2L,2L3X2-1/2X5/16X3/4LLBB,1256,15th,3.26,3.00,11.2
2L,2L3X2-1/2X5/16X3/4LLBB,7218,LRFD3,3.25,3,11.1
2L,2L3X2-1/2X5/16X3/8LLBB,5272,13th,3.25,3.00,11.2
2L,2L3X2-1/2X5/16X3/8LLBB,3286,14th,3.26,2.50,11.2
2L,2L3X2-1/2X5/16X3/8LLBB,1255,15th,3.26,3.00,11.2
2L,2L3X2-1/2X5/16X3/8LLBB,7217,LRFD3,3.25,3,11.1
2L,2L3X2-1/2X7/16LLBB,5265,13th,4.44,3.00,15.2
2L,2L3X2-1/2X7/16LLBB,3279,14th,4.44,2.50,15.2
